,Feature Selection + Decomposition_Positive,Feature Selection + Decomposition_Negative
Xgboost,80.36,75.53
Random Forest,77.98,70.21
LightGBM,85.12,76.6
Keras,64.88,59.57
XGBoost + Ramdom Forest,80.95,78.72
XGBoost + LightGBM,83.63,78.72
XGBoost + Keras,80.65,75.53
Random Forest + LightGBM,84.52,76.6
Random Forest + Keras,76.79,69.15
LightGBM+Keras,83.63,75.53
XGBoost + Random Forest + LightGBM,83.04,78.72
XGBoost + Random Forest + Keras,82.14,77.66
XGBoost + LightGBM + Keras,83.63,77.66
Random Forest + LightGBM + Keras,83.04,75.53
XGBoost + Random Forest + LightGBM + Keras,84.23,78.72
