,Feature_Selection_Positive,Feature_Selection_Negative
XGBoost + LightGBM + Keras,85.71,73.4
LightGBM+Keras,84.82,78.72
Random Forest + LightGBM + Keras,84.82,76.6
XGBoost + Random Forest + LightGBM + Keras,84.52,73.4
LightGBM,84.52,72.34
XGBoost + LightGBM,83.63,74.47
Random Forest + LightGBM,83.63,73.4
XGBoost + Random Forest + LightGBM,83.63,73.4
Xgboost,81.25,73.4
XGBoost + Random Forest + Keras,80.06,74.47
XGBoost + Ramdom Forest,79.76,74.47
XGBoost + Keras,78.87,75.53
Random Forest + Keras,73.81,74.47
Random Forest,71.43,70.21
Keras,61.61,61.7
