,Feature_Selection_Positive,Feature Selection + Decomposition_Positive,Feature_Selection_Negative,Feature Selection + Decomposition_Negative
XGBoost + LightGBM + Keras,83.04,86.61,76.6,75.53
Random Forest + LightGBM + Keras,83.04,85.71,76.6,73.4
XGBoost + Random Forest + LightGBM + Keras,83.04,84.82,75.53,77.66
LightGBM+Keras,82.14,84.52,74.47,68.09
XGBoost + Random Forest + LightGBM,82.74,84.23,75.53,75.53
XGBoost,83.04,83.93,72.34,78.72
XGBoost + LightGBM,83.04,83.93,74.47,76.6
Random Forest + LightGBM,83.04,83.93,74.47,75.53
XGBoost + Ramdom Forest,79.17,83.63,74.47,78.72
LightGBM,83.63,83.63,74.47,77.66
XGBoost + Random Forest + Keras,79.76,83.63,73.4,74.47
XGBoost + Keras,76.49,82.14,71.28,67.02
Random Forest + Keras,76.49,81.25,71.28,63.83
Random Forest,79.17,80.95,74.47,74.47
Keras,68.75,75.89,65.96,62.77
