,Feature_Selection_Positive,Feature Selection + Decomposition_Positive
Keras,67.86,72.32
LightGBM,85.42,83.63
Random Forest,81.25,80.95
XGBoost,82.74,83.33
XGBoost + Ramdom Forest,81.25,82.44
XGBoost + LightGBM,85.42,84.52
XGBoost + Keras,77.68,80.65
Random Forest + LightGBM,85.42,83.33
Random Forest + Keras,77.68,76.49
LightGBM+Keras,82.44,80.95
XGBoost + Random Forest + LightGBM,84.82,83.93
XGBoost + Random Forest + Keras,80.95,83.04
XGBoost + LightGBM + Keras,82.74,84.23
Random Forest + LightGBM + Keras,82.74,85.12
XGBoost + Random Forest + LightGBM + Keras,83.33,83.63
